,tunes
11,g2abg3fefe'2a4|g2d'2a2e2A2e2d4|e4e2d2a4d'2a2|d'2e'2e'd'bag4ded2||fga2a2gedfe'2a4|g2d'2a2e2A2e2d4|e4dedegab2d'ba2|d'2e'2e'd'baag3d3e||d2a2d'bd'2e'd'bd'a3g|bd'3d'4f'g'd'2d'4|b4bad'aage2g4|d'3e'd'2agg4d4||d2a2d'4e'd'3a2gf|bd'3d'4f'g'e'd'd'4|f'g'e'd'd'3ba2gae2f2|d'bd'e'd'2agag3d4
12,E4D2E2F2D2D2EF|A2D2E2G2B2d2d2A2|EFD2D2F2D2E2F2G2|D2F2G2D2E4E2F2||EDE2D2E2F2D2D2EF|A2D2E2G2B2d2d2A2|E2D2D2E2D2E2EFG2|D2E2G2D2E4E4||A2GAAG2AA2G2G2FE|F2G2G4B2d2ABF2|G2A2d2A2B2A2A2G2|E4E2D2E3DD4||GAG2AG3AG3G2FE|FEG2G4B2d2A2FE|G2A2d2A2B2A2A2G2|G2E2E2D2E2D2D4
13,d4e2d2d2e2d4|d2A2f2d2d2BdBdB2|d4ed3G2FGBdEF|EFE2D4DE3F2e2||d'2a2a2g2g2d2d4|d2A2f2d2d2B2deg2|bd'b2bd'd2gaedd2e2|ABd2F2A2B2F2G2d2||g2fgbd'abf2d2g2e2|g3ad'2a2e4e2d2|e2A2dBF2F2E2d2G2|F2G2G4E2F2F2d2||g4d'2a2e2d2fged|g3abd'a2e'f'd'2d'4|d'2a2g4efd2A2d2|G2d2G4d4d4
14,"DB,D2B,2DED4D3E|E4BAE2E2D2D4|E2F2D2EFD2EDE2F2|G4E3DD4DEGF||DB,D2B,D3D4D4|E4ABE2E2D2DB,D2|DEF2D2E2D4E2F2|FGd2D4E2D2E2GF||FGA2A2BdA2G2E2D2|E2G2G2d2B4B4|B2d2A2d2B2G2E2GF|Bd3A3BB2G2E4||F2A2A2B2A2G2E2D2|E2G2G2d2B4BAB2|efe2d2B2G2A2A2G2|EFE2E4E2D2DED2"
15,A4A2G2D2F2F2G2|G4d2G2B2A2G2d2|d2B2A2G2E4A2G2|G4A2G2B2G2G4||A4A2G2D2F2F2G2|G4d2G2B2A2G2d2|d4A2G2E4A2G2|G4A2G2B2G2G4||d2B2d4f4e2d2|d2edg2d2gfd2B2d2|d4f2e2g2e2d2B2|A2F2G2A2B2G2G4||d2B2d4f4e2d2|d2e2g2d2gfd2B2d2|d2e2e4g2e2d2B2|G2F2G2A2B2G2G4
16,d4d2A2A2G2E2A2|A2D2GA3A2a2e2d2|d4B2G2D2E2G2A2|A2E2E4E4DEA2||d4d2A2A2GFE2A2|A2D2G2A2A2a2e2d2|d4B2GFD2E2G2A2|A2E2E4E4E2f2||ded2edefg2a2gfe2|e2d2d4e2f2d2Bd|g2e2ede2g2e2d4|d2A2A4BABdd2e2||d4edefg2a2gfe2|e2d2d4e4e2a2|a2g2g4gaf2g4|d'2a2b2gab2d2ed3
17,d4ede2a2d2e4|d3efge2d4B2e2|fed2ga2bg3ad'bab|d'3e'd'2b2g2efd2e2||dBd2e3fgad2fge2|d3eg2e2d4B2e2|fed2g2bad'e'd'2d'a2g|bd'3d'3bg2effgd'2||d'e'e2abaed'2a2d'bg2|d'3bfgefa2baa2b2|d'2dBd'aeda2e2a4|d'2f'g'd'2a2fge2e2d'2||d'e'e2ab2fbd'bd'd'bg2|ad'2bf3eab2aa3b|d'bdea2d'2g2d'2a2ge|d'2f'g'd'2a2g2e2e2d2
18,d4ed3ded2d2a2|bd'g2age2e2d2d4|d4d4ded2e2a2|d'2e'2d'2bafg3d4||d2g2e2d2d2B2Bdf2|d'2g2a2feefd2d4|d2edd4d4e2a2|d'2e'2d'2bag2a2e2f2||f'g'e'2d'bd'bd'2aba2d'a|e'2d'2e'2f'e'd'e'g'2f'2e'2|e'd'3d'bd'aa2gaa2g2|d'2bd'bagff2a2de3||g'2d'2e'2d'aa2bd'd'4|bd'2e'd'2e'd'f'g'f'2e'4|f'2e'2e'2d'2a2gagfg2|d'4d'2feg2a2fg3
19,ef3e4g4f2g2|ga3a2f2e2d2d4|e2f2g2f2g2a2b2a2|a2g2e2d2d4ABA2||ef3e4gfg2f2g2|ga2ba2f2e2d2dBd2|e3fg2f2g2a2aba2|a2g2e2ded4A4||g4a2f2gfe2de3|d2BAGA3f2d2d4|e2g2g2edf2g2a2d'2|a2g2e2d2d4A2BA||g4a2f2g2e2d2e2|d2BAGA3f2d2d4|e2g2g2e2fg3a2d'2|a2g2e2d2d4A4
20,G3AB2G2F2E2D3E|F2G2B2d2e2d2d2A2|G4B2G2EFE2D2G2|DED2E4E4E2G2||G3AABG2FGE2D3E|F2G2B2d2ed3d2AG|G4B2G2F2E2D2G2|D4E4EDE2E4||E4G2A2D2E2E4|D2G2A2Bdd2Bdd2E2|E4A2B2D2A2D4|D4D2E2E4D4||E4G2A2D2E2E4|D2G2A2B2d2B2BdE2|E4A2BAD2G2D2GF|F2A2D2E2EDE2D4
21,A2BdA2F2BdG2A2G2|FG3d2A2FGA2B2d2|d4d2A2d2G2FE2F|G2B2A2F2E2D2D4||B2d2A2F2BdG2A2G2|F2G2BdAGFGA2B2d2|d4d2A2d2G2E4|G2d2AGF2E2D2D4||d4d4A2d2e2d2|a4gag2f2d2d4|e2g2g4e2d2e2B2|d2e2d2GAF2D2D4||d4d4A2dBd2f2|d'2a2gag2fed2d4|a4gag2d4G2AG|F2A2F2GFE2D2D4
22,"DB,2DA,B,D2D2d2D4|D4A2E2D2EDD4|A,B,3D3EE4F2EF|FEFGD2E2D4DEd2||B,2DB,B,4D2d2ED3|D4GAEDD2E2D4|D4D4E4F3G|F2d2EDFGA2D2AGg2||abA2A3GABAGD2E2|A2B2A2G2A2d2A2Bd|e2d2B2A2EFD2G2D2|F2ded4A2B2deg2||abABA2BGB2G2D2E2|A2dAABG2A2d2d2Bd|F2ABd4E2G2GAE2|D2G2G2F2d2E2D4"
23,G3AA2G2G2d2e2d2|g2a2f2d2e2d2d2B2|d2B2d2A2B4f2g2|f2g2ag3e2d2d4||G2A2A2G2G2d2e2d2|fga2fed2e2d2d2B2|d2B2d2A2B4f2g2|f2g2ag3e2d2d4||bd'gfg2e2g4f2e2|efg2f2e2d2e2b2a2|e4abg2e2fed2ed|f2g2b2g2e2d2d4||bd'g2fge2gag2f2e2|efg2f2e2d2e2bd'a2|e2g2g4e2fed4|f2g2a2g2e2d2d4
24,"E4E2D2E2F2G4|G2EFF2G2E2D2D4|F4GFEFG3FGF2G|F2D2B,2D2D4F2A2||E4E2D2E2F2G4|G2EFF2G2FED2D4|EF2GFE3G2FGF3G|F2E2D2E2E4G2d2||E2F2F2E2GFG2G2F2|E2G2G4BAFEDED2|E2F2A2GAGA3A2F2|E4D2E2E4G2A2||E2F2F2E2GFG2G2FE|E2G2G4BAE2DED2|E2G2E4E4E2GF|F2E2D4F2D2D4"
25,g2e2e2d'2a2g2e2f2|g2agab2d'd'2e'2d'e'3|d'2g2a2d'2fg3a2b2|a2g2f2d2d2e2e2a2||g2e2efd'2a2g2e2f2|g3aaba2ab3d'2e'2|e'd'g2abd'2e'2d'2aba2|a2f2ed3d4e4||e3fa2d'2e'2d'2d'4|d'bgafegff2d2d2ab|d'2g2a2d'bd'4d'4|a2g2d2B2d2e2e4||e2f2a2d'2e'2d'e'd'4|d'bgagfgae2ded2a2|d'4d'4d'4e'2d'2|ba3a2b2d'2e2d2e2
26,d4e4a2d2fge2|d4d4e2g2e2a2|g2d2d4g2fgd'4|a3ge2g2e2d2d4||d4e4a2defged|d4d4e2g2e2a2|g2B2d4g2egd'4|a3ge2g2e2d2d4||fgd'2d'4e'2d'2d'2e'd'|bd'3d'2b2ag3e2d2|b3d'd'4d'4d'4|d'4agd'2g2d2d4||efd'2e'2d'2d'4d'e'd'2|d'4d'4bga2a2d'2|d'3e'd'4bd'a2d'2e'd'|d'4a2d'2g2d2d4
27,g2aga2g2g2efg4|d4efe2d2g2fgf2|bd'a2a2bd'b2a2a2f2|a2gfa2d2d4d4||f2g2aba2abe2fg2f|d4efe2d2g2fgef|bd'a2a2bd'b2a2a2g2|a2f2d3ed4d4||a2gad'2bab3d'd'4|bd'2aabd'2d'bg2f4|a3bd'4f2abd'e'3|b2g2g2e2d4d4||gagad'2b2egd'2d'4|d'3aad'3d'bg2f4|a3bd'4d'2e'2e'2d'2|d'2g2g2d2e4g4
28,"EDG2E2F2D2EFG3F|D2E2G2A2G2EFE2F2|B,DA2D2F2E2G2G2D2|E2G2G2E2E2D2D4||D2G2E2FED2E2G2F2|D3EG2A2FGE2E2F2|B,DB2D2F2E2FGG2D2|DEG2G2E2E2D2D3B,||de3e2d2d4e2d2|GAd2d4B2d2d4|d4f2ABB2d2d2BA|A2F2FGE2E2D2D4||d2e2e2d2d4d4|g2e2ded2B2d2dBd2|f2e2d2e2e2d2d2BA|A2F2F2E2E2D2D4"
29,"D4D4D4D4|D3EGFE2D4B,D3|DEFED4E3DDED2|B,DE2FEGFFED2D2B,D||D4D4D3B,D4|D3EGFE2D4D4|D2EFD4E2D2DED2|B,2EFFEFGFED2D3B,||DED2E2G2A4G2E2|D2FEF2G2G2d2G4|D2FEA4A4A4|ABG2GA2BG2E2D4||D4E2G2G4F2E2|D2FEFEG2A2F2G4|D2F2A4G2E2E4|D4E4G2D2D4"
30,"G2FGFED2D4D2E2|G2E2A2E2D2E2E2G2|G4G2E2D2E2G2Bd|BAG2E2D2D2B,2D2B2||G2FGFED2D4D2E2|G2E2GAE2D2E2E2G2|G4G2E2D2E2FGd2|B2G2F2D2D2E2G2ga||ABG2G2A2B2d2d4|A2d2e4d4B4|F4F2A2AGA2d4|efe2A4A2d2e4||A2G2G2A2B2d2d3B|A2d2e4d4e2d2|d4A2G2G2B2d4|e2d2A2FGGFE2E2FE"
31,efg2g4f2d2d2g2|e2d2d4f2d2d4|ed2ee2g2e4d2ef|e3dd2feg2abd'2ab||e2g2g4fgd2d2g2|e2d2d4f2d2d4|d3ee2g2e4d2e2|e3dd2feagabbd'ba||bd'a2d'2a2d'4a2d'2|babd'd'bd'2d'3ba2g2|e4g4g3aagd'2|g2e2d2f2g2a2aba2||bd'agd'2a2d'4abd'2|ab2d'd'bd'2d'3ba2g2|f2e2g2f2f2gaa2d'2|a2e2d2f2g2a2a4
32,D4D4D4D2E2|E4G2A2d4A2G2|E4D2EFD2E2G3A|A2DEF2D2E2D2D4||D4D4D4D2E2|E4G2A2A4GA3|E4D2E2D2E2FG2A|A2DEF2D2E2D2D4||G4A2B2d2EFE2F2|E2F2G2A2d2A2FGA2|D2F2d4d2G2E2A2|A2D2E2D2D4D4||G4A2BAd2E2E2F2|E2F2F2A2d2A2F2A2|D2F2d4d4f2AG|G2A2A2G2A2D2D4
33,e2d2d4d2e2feg2|gag2e2d2d4A2d2|d4d4d2e2g4|f2d2f2e2d4de3||e2d2d4d2e2e2g2|gag2e2d2d4A2B2|d4d4d3eg4|f2d2f2e2d4de2d||a4b2abd'ba2g2a2|a4g2a2d'2a2g2a2|b2d'2b2d'2a4e2g2|f2d2e4d4d2e2||a2bab2abd'ba2g2a2|a4g2a2d'2a2g2a2|b2d'2b2d'2b2a2efg2|f2d2e4d4d4
34,"D4D4FGE2E2D2|D4E4G2EDD2E2|B,2DED2E2G2E2F2D2|EFE2F2G2E4EFE2||D4D4FGE2E2D2|D4E4G2D2D2E2|B,2DED2E2G2E2FED2|E4F2G2E4E4||d4d4A3BB2AG|G2A2B2A2G2A2A4|d4e2Bdd4ABd2|G4G2F2E2D2E4||d4d4A4B2AG|G2A2B2AGG2A2A2d2|G2FGF2d2d2A2A2FE|E2G2G2FEE2D2E4"
35,"D4DE2FDED2D4|B,2DEG2E2D4D3E|D4E2G2G4D2E2|D2G2G2A2B2G2A2F2||D4DE3E2D2D4|B,2D2G2EDD4D4|D4E2F2G4D2E2|D2G2G2A2BAG2GAG2||BdD2A2BAd2AGG2A2|G4A2d2d2BAA4|E4AB3d2A2d2B2|BdG2B2G2B2G2G2B2||ABD2GABAd2G2G4|G4A2d2d2BAA4|E2A2A4G3AE2D2|B,2E2EDG2B2G2G2F2"
36,d4d2e2G2efd2e2|A2d2gag2e2g2d4|e2g2e4d4d4|efg2a4g2d2d4||e4f2edG2efB2d2|d4gag2e2g2d4|e2g2e4d4d4|e2g2g2a2g2d2d4||ab2ad'4d'4e'4|f'e'd'2bd'3ag3e2de|a2d'2d'2e'2d'4d'2ag|a3befa2g2d2d4||a2b2d'4d'4d'3e'|d'2a2ad'3bag2e2d2|bd'e'2e'2d'2d'2bd'd'3b|ag2ag2a2g2d2d4
37,"B2d2e4f2d2e2d2|d2B2b2e2a2g2e3d|d4d4f2d2d2A2|e2g2e2d2d2EDd'2DF||BAd2e2def2d2e2d2|d2ABb2e2gag2e3d|d4d4f2d2d2A2|d2g2e2d2d2Fdf'e'B,A,||d'2a2d'2aga2d'2a4|f2b2a2feefd'2g'2d'2|d'2e2f2g2d2a2f2e2|f2a2f2d2dBG,2g'2d2||d'2a2bd'agabd'2a4|fgb2a2edegd'2g'2d'2|d'2e2f2gfd2a2e4|f2a2f2d2d2A,2g'2d2"
38,F4D4EFB2G2FG|B3dBAFGA2GAG2F2|E2F2D2EFG2F2F2E2|A2d2d4d4Bd3||F4D4E2BdG2F2|ABd2BAFGA2GAG2F2|E2G2EDEFG2F2F2A2|d2g2e3fe2d2d3B||g2e2e3de2fgg2d2|g3fd2B2A2dea2f2|g2f2f2dee2d2d4|e2g2g2d'2bd'a2a2g2||g2e2e4g2f2g2d2|gagfd2B2A2d2a2f2|g4e2d2d4d2AG|A2d2f2d2e4d4
39,d4d2B2A2G2D2G2|A2G2d3ee4d4|d4d2B2GAF2D2E2|F2E2AGE2D4D4||d4d2B2A2G2D2F2|A2G2d4e4d4|d4d2B2A2F2D2E2|F2E2G2E2D4D4||d4f2d2A2F2d4|d4e2dBB2ABA2BA|d4e2d2A2G2F2BA|G4G2E2D4D4||d4efd2A2F2Bd3|d4ed2BB2A2A4|d4e2d2A4F2BA|G4G2E2D4D4
40,g2dee4d4A2d2|d2BdB2d2A2dee4|aba2g2fed4B2d2|e2fee3fef3f2e2||g2deede2d4A2d2|d2BdB2d2A2d2e4|aba2g2fed4B2d2|e2d2d2f2g2f2fgb2||d'4d'4d'2g2g2ab|d'4d'4ageff2ef|d'4b2d'2d'2g2f2g2|f2d2d4e2f2g2a2||bd'3d'4d'2gag2ab|d'2bd'd'bd'bd'2a2d'4|e'2d'2d'4d'4b2a2|g2d2d2g2a2f2e2d2
41,d4d3ef2d2e2g2|g2e2d2e2d2e2A4|d2e2ede2f2eggabd'|a2g2d2e2e2g2g4||gfgad'2a2b2d2deag|g2ded2e2d2e2A4|d2e2de3fe2ggab2|abg2d2e2e2g2ga3||ad'3e'3d'g'2e'2e'3d'|ad'bd'd'4a2b2g2e2|a2d'e'e'2d'2d'3e'e'd'3|d'2b2g2baa4a3g||abd'2g'2e'2gae'2e'd'2a|d'2bd'd'4d'4d'2f'2|g'2e'2f'2d'2d'2gad'4|d'4d'2b2a2gaa2g2
42,F3GG2F2E4D4|E2FGF2A2A2G2GF3|G2B2G4E2FED2E2|FEF2D4D4E2FE||FEG2G2F2EFE2D4|E2G2F2A2A2G2GFEF|G2B2G4EFE2D2E2|E2G2D4E4FEG2||D3ED2F2D4D4|D4D2E2G4A2FE|D2E2D2G2D2E2D4|D2F2D2E2D2E2E2G2||D4D2FED4D4|D4D2E2G4A2FE|D2E2D2G2D4E2G2|D4D4E2D2DED2
43,d4d4ded2A2g2|f2d2e2abbd'e'2d'2b2|gfd2d4f2d2debd'|a3bd'2bad'4d'4||d4ed3ded2A2g2|ged2ega2bd'2e'd'b2a|gfd2d4f2d2deb2|a3bd'2b2d'4d'4||abd'2d'2e'2f'2d'2d'2e'd'|b3d'd'2gea2d'2d'bd'2|d'4d'4d'4d'a2g|abgaa2bab2d'2d'4||gad'2e'4e'4d'4|d'2ad'ged'2gae'2babd'|f'2d'e'e'3d'd'2gaaeag|d'2a2b3ab2d'2d'4
44,"EDA2A2G2G2E2GF3|A4d2e2g2e2d2A2|G2E2F2G2A2F2G3A|GAG2G2F2FED2D2A,2||D2AGA2G2G2E2F4|A4d2e2g2e2d2A2|G2E2F2G2AGF2G3A|GAGAG2FGF2D2D2B,A,||e4e3dBdB2d4|e4ded2A4B4|e4de3A2d2A3G|d2BdA2G2G2E2E4||e4e3dBdB2d3B|e4e2d2A4BAB2|e4de3B2d2A3G|d2BdA2G2G2E2E4"
45,f2d2B2d2efe2ef2e|degff2d2d4B2d2|e3dd4g2deg2d'2|d'4a2g2efe2d4||gfBdBAd2efe2ege2|e2fgfgd2d4B2d2|e2d2d4g2eggabd'|d'4a2g2e2g2gab2||ad'3d'4g'2d'2d'e'f'e'|ad'2e'e'2d'2d'4d'4|a2d'2e'd'e'd'e'2d'2d'4|e'2bd'g2f2e2f2a2d'2||gad'2e'2d'e'e'4e'2d'2|d'4e'd'e'2d'4d'2bd'|e'2d'e'e'4d'a2d'd'4|e'2d'2a2f2ef3d4
46,ED3E2D2D2FGd4|GAG2d2G2d2G2Bd3|d2A2A4GFEFabfe|f2d2e2B2d2G2g2GA||ED3E2D2D2F2d4|G4d2G2d2G2B2d2|d2A2A4GFEFabfe|egd2e2B2d2ABd'bAG||efd2d2BAG2B2d2f2|e2f2a2f2feA2A2d2|d4g2d2e2ABe2a2|d'4b2d'2g2GFe'2b2||efd2d2A2G2B2d2f2|e2f2a2f2e2BAA2d2|d4g2d2d2g2a3g|d'4b2d'2g2A2e'f'gf
47,"A2E2D4GAd2d2A2|d2A2B2E2GAE2d4|B2G2E3FA2G2dBd2|d4A4GFE2D4||A2E2D4GAd2d2A2|d2AGB2D2G2E2d4|B2G2E4A2G2B2d2|d4A4G2E2D3B,||f2e2e4e4dedB|d2e2e2d2d2fef4|g2f2feg2f2e2d4|B2G2GAG2A2G2G4||e4e4e4d3B|d2e2e2d2e2fegfga|g3abafeg4e2d2|B2G2GAG2A2G2G3F"
48,"D4B,2D2D4D2E2|D4A2DEF2D2D4|E2G2D4F2D2G2E2|GFDEE2G2D4D2G2||D4B,2D2D4D2E2|D4A2D2E2D2D4|D2G2D4F2D2F2E2|F2D2E2G2D4D4||E3FE2F2G2A2F2E2|G2BAA3GG2B2dBd2|A2GFG2A2G2A2A2G2|E4E2F2ED3D4||E4E2F2G2A2F2E2|G2A2A3GG2B2B2d2|d2f2e2AGA4G4|E4D2F2D4D4"
49,d4g2f2gad'2d'4|d'4f'2d'2gfg2fga2|dedea3bb2a2d'2e'2|ad'3f'2dfb2d'bgag2||d4g2f2gad'bd'4|d'3e'f'e'd'2agaga2d'e'|d'2fgd'4d'2a2g2dA|ad'bd'age'd'd'bgad'4||d'4g2d'gegefe3d|a2g2e2a2a4efd'2|e'2abb2d'aad'a2gage|gad'2e'4d'e'3e'4||d'3bd'e'd'ee2fgg2ed|fa3ga2fbd'bafgd'2|d'4d'3bbd'3bd'f2|e2d'2a2efa2g2f4
50,E2d2ede2e4d4|d2A2d3Bd2G2G4|F2A2d4d4d2ef|g2e2d4e4d2B2||E2d2e4e4d4|d2A2d3Bd2AGG4|F2A2d4d4d2ef|g2e2d4e2g2g2ag||d'2g2a2g2g2a2b2g2|efd2e2fga2b2a4|a4a2gfe2g2d'2a2|g2e2d4e2f2g2a2||d'2g2a2g2g2a2b2g2|e2d2e2fga2d'ba4|a4abgff2gad'2a2|g2e2d4e2f2d2B2
51,d4d2B2GAdBG2A2|d4dBG2G4e2A2|BdA2A2G2EFd2GFA2|G2A2d2A2ABA2G4||d4d2B2GAB2G2A2|d4B2G2G4e2A2|B2A2A2G2EFd2F2A2|G2A2A2GABAG2G3F||e2dee4g4e2d2|feg2a2gfe2d2d2A2|A2G2A2d2ede2d4|d4B2d2d4B2A2||e3de4g4ed3|f2g2a2gfe2d2d2AG|GAe2g2e2d2e2d4|Bd3d2B2d4B4
52,d2e2d4EFaba2g2|d4d3ee2d2e2Bd|d4d4A2d2e2ga|g2d'babfga2fedef2||d4d4EFbd'a2f2|e2d2gag2e2d'2abd'2|aba2a4gag2e2d2|fge2f2b2g2fga2d'b||d'e'd'2d'b2ad'4e'd'e'2|e'2d'2g2a2gad'2g2g'f'|d'4d'4d'4abe2|f2d'2a2d'2abd'2d'4||d'e'd'2d'4d'3e'e'2ba|d'2a2d'2gfaba2ad'e'2|g3aagagfgedg2ag|e2d'2b2a2a2e2e2d2
53,d2A2e2d2d4b2gf|d4g2e2d2B2A2d2|d3ea2e2e3fd'4|b2a2g2e2d4d4||d2A2e2d2Bd3b2gf|d4g2e2d2B2A2B2|d2e2a2f2d'2a2ad'2a|b2a2g2fgg2e2d2e2||a2g2g2e2g2f2f3e|d'3bd'2b2d'be2d4|f2A2gfe2a2g2ad'g2|d'4a4e4e2f2||abg2g2e2g2f2f4|d'4d'3bb2fed2e2|a2d'e'd'3baba2bd'ag|bd'b2g2fgg2f2f2e2
54,e2d2e2d2d2A2G2A2|d2A2d2B2e2A2d4|f2e2g2d2d2BdA2F2|A2G2G4d4dBg2||e2d2e2d2d2A2G2A2|d2A2d2B2e2A2d4|f4gad2d2B2A2F2|A2G2G4dBd2Bde2||e2d2d2f2g2e2d2e2|a2g2e2gfg4e2ga|d'2g2g4g2e2e2d2|B2EFF2G2A2d2d4||e2d2d2f2g2e2d2e2|a2gfe2gfg4e2a2|d'2a2b2a2a2g2g4|e4d2e2g2d2d4
55,"D4B,D3E2GFG2A2|D2E2A2G2A2F2D4|D4D2EFE4G4|D4D2EFAGEFF2E2||D4D4E2F2G2A2|D2E2A2G2A2F2D4|D4D2E2E4G4|D4E2G2GAE2G3F||D4A2D2F2E2A2GF|D4G2E2BAD2E2F2|D4ABE2A2E2A2F2|D4D2E2A2E2G4||D4A2D2F2E2AG2F|D4F2E2BAD2E2FE|D4D4D2G2GFG2|D2dBG4G2EDE2D2"
56,d4d2edg2d2degf|Bd3d2fee2d2G2d2|d4d4g2e2e2g2|d'2a2g2efd4d4||d4d4g2d2d2ed|ed3d2fee2d2G2d2|d4d4g2efefg2|d'2a2g2fed4d4||d'4d'2bad'4d'4|d'e'd'2b2d'aa2d'2e2a2|b2d'2d'2bad'b2d'd'2e'2|d'e'd'2g2d'2g2d2d4||d'4d'4a2bd'd'4|d'2agabd'ba2d'2e2ga|d'4d'3bd'bad'd'2e'2|e'2d'2a2d'2g2d2d4
