,tunes
0,"F,2D2EDF2A2B2d4|BdB2e2d2G2A2FEA2|D2E2AG2AF4G4|B4G2E2D4E,2F,2|D2E2F2E2E2F2A2F2|F2B2DE3GF3B3d|d2fgg2e2de2fg2e2|f2e2d4d2G2FED2|F,2D2D2FEA2B2d2Bd|B4e2d2G3AE2G2|DF,E2GFG2E3FG2AG|d2B2G2E2E2D2F,4|F,2AGBdBAG2A2E2d2|B2A2A3BB2d2d2ed|g4g2f2e2fgf2e2|e2dBA3BA3dg2f2"
12,"D4F,2D2F,2E,2E,4|E,2DF,D4F,DF,2E,2D2|F,4F,2D2F,2DED4|D2E2F2D2E2F,2D3E|D4F,D3D2F,2E,2F,2|F,2G2D4D4F,2ED|D2B2BAG2D2E2A2D2|E2D2F,D3F,DF,2D2F,D|D4F,2D2F,2E,2E,4|E,2D2D4D2F,2E,2D2|F,4F,2D2F,2D2D4|D2E2FED2E2F,2D4|D4F,2D2D2F,2E,2F,2|F,2D2ED3D2E2E2D2|D2GFG2DED2A2G2D2|D4F,2D2D4D2EF"
13,BAe2ed3e2d2B4|e4e2d2e4f4|f2e2d2B2A4A2d2|e4B2dBd4g2f2|dedBded2B2e2f2d2|e2d2e4d3Bf3g|f2e2e2d2d4d2B2|B2d2G2AGB4d2B2|A2B2d3Bded2d2B2|e4e2d2e4e2f2|f2e2d2A2G4A2B2|e4B4d4g2f2|BAe2Bd3Bd3e2B2|A2B2d3BBdB2F2e2|f2e2efd2B4B4|B2d2A3BB2A2e4
14,D4E4A2B2A2G2|GFE2D4B2A2A2G2|F2A2G2A2d3BA2G2|A2GAEF3G4EF3|D4E4A2B2A4|G2E2D3EB2A2A2G2|F2A2A4d2B2F4|E2DEF4F4G2AB|D4E4A2B2A4|G2E2D4d2A2A2G2|F2A2A4d2B2A3G|A4F4F2G2F2G2|D4E4A2B2A4|G2E2D4BdA2A2G2|F2A2A4d2B2G4|E2D2G4F4F4
15,"F,2G2A4B2G2A2D2|D4F2E2D4D2F,2|D2B2d2BAB2d2B2E2|G2D2A2D2A2EDB2G2|F,2AGA4B2G2A2E2|E2d2FEG2GFEFFEed|e2fef2d2ABd2e2F2|A2B2d2EDE2D2D4|F,2A2A4B2G2A2D2|D4E4D4D2F,2|D2A2BAGAB2d2B2E2|G2D2BAD2A2D2B2E2|F,2A2A4B2G2A2D2|D2F2G3AB4dBed|fed2d2ABG2B2B2FE|AB3A2F2E3DGAGA"
16,"D2E2E4F2G2G3F|F2E2F2G2A4G4|G2A2A2B2B2A2A2G2|E2A2G2E2D4E2F,2|D2E2E4F2G2G4|F2E2F2G2A4G2A2|BAB2B4B2A2A2G2|A2F2F2G2F2DED2F,2|D2E2E4F2G2G4|F2E2F2G2A4G4|G2A2A2B2B2A2A2G2|E2GAG2D2D4E2F,D|D2E2E4F2G2G4|F2E2F2G2B2A2B2dB|B2ABA2B2B2A2A2GA|G2F2F2GAA2FEF2EF"
17,f2g2f2e2d2B2B3d|e2d2f2dBf2d2e4|e2BdA4B2G2A2B2|B3dd2e2d4d2B2|f2g2g2e2d2B2B2d2|e2d2f2e2d4e4|d2B2A4d2G2B4|BAB2A4d2B2B3A|e2f2f2e2d2B2B2d2|e4efBAf2d2e4|e2B2BA3B2G2A2B2|dB3d2efefe2e2d2|e2g2f2e2B4e2AB|A2d2e4ABG2D2d2|ded2A4d2B2d4|A2GAF2GABAB2d2AB
18,"GFBdd4f4g2ef|f2e2d2e2B2d2A2Bd|BA3GFABA2B2e4|d2B2B3Ad3ee2d2|fBf2e3fe2d2A2GF|ABFEe2dBBdBAD2GB|D4E4B2d2e2B2|B2F2A2d2B2A2F2E,2|F,2EGd3Bef3g2fe|e4d2edB2dBFGBd|G4F2GFG2A2d3e|d2B2AB3e2f2f2e2|d4d2feded2BdB2|G2B2f2B2Bd2BABGF|A2G2B2GFB2f2f2d2|BdA2A2B2G4e2f2"
19,B3Ae4f4f2e2|B2e2d4B4A2B2|E2D2G2F2BdG2dBd2|e4B2A2A4d2A2|BFded2Bde2d2BdAG|deG2e2d2dB3A2d2|e2f2e2f2edefd4|d2B2BdB2BAG2GAEF|G2d2f3efgf2f2ed|d2e2e2d2B3AA4|D4F4B2G2B4|e4d2B2A4A4|dBd2GABABdA2B2A2|d2B2e2G2B4GAd2|d2e2ede2B2f2e4|e4d4d2B2d2e2
20,"G4G2D2F,2D2F,2D2|EDF2F2G2A2GAF2G2|G2A2G2A2E2G2A2B2|BAd2B2G2FEF2DEFG|d3BA2G2ABF2G2AG|d2B2d2B2A2G2F2G2|AGA2G2AGE2G2B4|E2D2E2B2d2A2d2B2|B2A2G2D2F,2D2F,2D2|E2F2F2G2A2G2F2G2|A4F2A2E2G2B4|AB2dBAG2GF3E4|d2B2G2ABA2E2F3E|d2B2e2A2A4GAG2|A4G2A2E2G2B4|F2EFABd2efd2GFGF"
21,"E,2F,2D2E2E2D2D4|D4D2F2A4F2D2|F,4F,2D2D4D2F,2|F2G2A2F2F2E2D4|E,2F,2D2E2E2D2F,D3|D4D2F2A4A4|B2G2F2A2A2B2GFDE|D4D2E2GAGFB4|F2dBd4d2B2A2G2|A2BAA2ded2BAB4|B2d2AB3G4A2E2|GFGAG3FG2FEEDFE|F2d2d4d2B2A2G2|A2B2F2G2F2EFABdB|f2A2d2B2d2B2G2E2|FED2D4D4D2ED"
22,"D3EFGFEB4A2F2|D4E2A2ABd2AGE2|D2E2E2G2F2d2GA3|B2f2f2e2f2d2f2d2|f2gfd2e2d4A4|d2ABG4D2E2F,2D2|F,2E2F2D2D2E2G2F2|F4B2dBFGFEA2E2|F,2DF,F2GFGABAG2FE|D4D2G2AGB2G2EF|D2E2E2G2F2BdG2B2|ABf2f2d2f2e2g2B2|g4g2f2d2BdE2GF|A2F2G2F2E4D4|D4G2E2D2FGG2AG|E2FGd2f2B2A2ede2"
23,"FEABE2F,DD3F,F,4|E4E2A2FEB2F2B2|DEDED2E2F,4F,4|D2E2FED2E2D2A2B2|e2D2DEFEd2GFA2GF|A2D2B2A2dBFEB2G2|A3Bd2BAD2E2D4|F2A2G3AA2EFF2F,2|G2EGDEF,2F,4F,4|D3EE2G2EDGAE2BA|D4D2E2F,4F,4|D4E2D2D4AGD2|E4D2FEGAE2D2A2|A2FEd2DEG2E2GAFE|BdB2d2B2F,2D2D4|B2A2G2FGGAF2G2D2"
24,E2B2G4A2G2G4|G2F2G2E2B4A2G2|G2A2A4A4A2B2|A4AGA2A2G2F2E2|E2B2A2GAA2G2G4|A2F2GFE2B4d2B2|A4A4A4A2BA|A4A4A3GA2d2|F2d2B4B2A2A2G2|A2G2AGA2d2B2A2BA|B4B4B4B2dB|A2G2AGA2AGAGF2E2|F2d2B4B2A2A2G2|A2B2B2d2A2GAB2d2|d2B2B4B2A2B2d2|B2dBd2A2G3FF2E2
25,FEABB2d2e4f4|e2deA2B2FEAGG2Bd|B2d2d4d4e2g2|f2g2f2g2f2d2dBAB|fef2f2efA2d2d2B2|BdB2efe2e2d2G2AB|A4AGB2ed3d2AB|d2GAB2d2BdA2B2E2|D2FGB2d2def2fgf2|e4AB2AFEAGFGBd|A2d2B2dBd4e2g2|f2g2g4g2f2f2DE|fef2f4f4efBd|BA3e2dBefeddeBA|e2AGB3df2g2f2ef|e2d2d2e2dBe2f2e2
26,"G2E2GAD2D4D2E2|F,2D2E4F2D2F,2D2|F,2D2E2F,2D4F2D2|d2B2A4G2E2E2D2|E4G2D2E2D2D2E2|F,2D2E4G2D2F,2D2|F,2E2D4F2GABAGA|d4A4G2EFE2D2|F2E2A2D2D4D2E2|F,2D2E4G2D2F,2D2|F,2D2E2F,2D4GFD2|B4A4G2E2D4|F2E2A2D2D4D2E2|F,2D2E4G2D2F,2DF,|F,2D2D3EF2G2B2A2|e4B2A2GAF2D2EF"
27,"F,4D2B2F2D2F,2D2|F,4F,4E4G4|D2E2F2A2A2GFE2D2|F2E2E2D2D2E2F2DE|F,4D2B2F2D2F,2D2|F,4F,4E4G4|DE3F2A2A2G2E2D2|E4D4D2E2F2G2|d2B2G2A2F2B2d2G2|F2B2FEG2AG3A3B|d2e2d4A4B2G2|BA2GG4F2E2F2GF|d2B2GFA2F2B2d2G2|F2B2F2G2A2F2B2A2|d2e2d4A4B2G2|F2D2F,DF,2E,2F,2E,2F,2"
28,GF2GB2e2f2deB2A2|G2ABA4E2B2d2Bd|Bde2e2f2f2g2e2g2|g4g4g4g3f|f2gfe2d2d2f2e4|e2d2d2edA2G2F2GA|G4d2F2FG3d2G2|B2e2d3BGAd2d2ED|E3DBAedf2d2B2G2|FGA2GA2GD2ABB4|Bde2def2f2g2e2g2|g4g4g4g2d2|g4g2f2d2efd4|B2d2e3dd2B2G2B2|d2GFd2EDD2FGF3E|AB3Bd3AG2FB3d
29,A2GFGF3B2d2d2A2|F2B2dB3B2d2d4|e2d2d2B2d4d2B2|A2dBB4A2G2F2AG|BAG2G2F2B2d2d2A2|F2B2d2B2B2d2d2e2|d4FGdBA2B2G2B2|d2e2e2d2d2BAA3B|e2f2gf3f2efe4|f2e2f2e2e2d2d3e|f4g2e2f2d2e2d2|A2B2B4BA3FGBA|d2f2f2e2e4e4|f2e2f2e2e2d2A2de|B2AGB2dBd2A2A4|g4f2d2B2A2F2G2
30,"E2A2GF3A4A2D2|F,2E2GFA2B2A2G2AB|A3BB2A2G2B2A2D2|AGe2Bd3G4D2ED|E2A2G2F2A4A2D2|F,DA2FE3F2G2A2G2|A2e2e2f2f4g2fe|d2G2G2F2F2E2d4|D2A2G2F2A4A2D2|F,2E2F2A2ABA2AGB2|A3BB2A2G2B2A2D2|GAe2B2d2A2G2D2E2|D2A2GF3A2G2G2D2|D2F2D4D2E2G3F|GAe2e2f2f4f4|d4A2GAD2EFA2ED"
31,e2B2A2G2e2d2dBG2|G2A2A2G2A2G2G2E2|A2F2B2FEefd2d2G2|ABe2A2B2B2G2B2d2|e2B2B2A2e3dd2G2|G2ABA2G2A2G2G2E2|EFAGG2A2E2G2A4|B2f2A2B2B2A2BAd2|e2d2d2A2f2e2d4|d4B2A2BA2GG2F2|e2B2d2FEf2d2d2AG|B2e2A2d2B2AGB2dB|e2d2d2A2f2e2d4|d4B2A2ABAGG2FG|EFE2AGB2E4A2G2|e2g2d4B2A2B4
32,gfg2g4f2e2d2A2|e2f2d2e2e2def2e2|f2d2ABe2f2B2G2A2|ABABd2e2d4ed3|fg3g4f2e2d2A2|e2f2e2f2e4f2e2|f2d2A2e2f2dBe2d2|B2d2d2A2f2e2e2d2|f2g2g4f2d2B2A2|e2f2d4e4fe3|f2d2BAe2e2B2A4|B2ABd2e2d4A2ED|f2g2g4f2d2B2A2|e4d2f2f2edd2e2|f2d2A2e2e2ABd2ed|A2d2d2ABe4f2g2
33,"F2GFB2G2AGB2B2FG|D2GFF2GAD2G2EDF2|F,2D2E2G2E4D2E2|D2F2EFE2D2F,DF,2E2|edF2DEF2F2D2G2F2|G3FB2F2FGF2F2E2|F,2EDF2AGG4F2A2|d2A2A2dBBd2Bf4|F2G2B2G2F2B2B2GF|D2G2F2A2D2G2DEF2|F,2D2E2G2E4D2E2|E2F2E4D4DF,D2|AG2FD2F2GAD2F,2D2|DED2DEF,2D4EFE2|F,2D2E2G2FEG2F2G2|BA3GFABAGAdBAED"
34,G2B2d2B2A4A2B2|B2f2feB2A4F2B2|B4B2d2d2B2d4|B4d2FEF2E2EDF2|G2B2d2B2A4A4|Bdf2feB2ABA2F2B2|B4d4d3Bd4|B4d2F2F2E2D2E2|G4AG3A2B2dB3|AGd2A2G2F2E2E3F|EF3FGA2B4d4|d2B2d2F2F2E2D2E2|G4G4A2B2B4|G2d2A2G2F2E2E3F|F4GFA2B4d4|d2B2d2F2E4D3E
35,"DF,2DF,4F,4D4|F,4DF,2DE,2DF,F,2D2|F,2D2D2F2D2G2B2d2|e2B2d4f2e2f2d2|e2dBDEA2A2EDD2E2|D2A2D2EDE,2F,E,E,4|E,2EFE2DEF,3DE4|AG3EFE2F,4F,2E,2|D2F,2E,2F,2F,E,F,2F,2DF,|F,4F,2D2E,2F,2F,4|F,2D2D2FED2FGB2dB|e2B2d4f2e2g2G2|d2BAe2B2AF3D2BA|A2GAG3AE4EFF,2|F,2D2DEF,2F,E,D2D4|FGF2E4D2F,2F,4"
36,"E2F2F2D2E4G2A2|F2G2G3AA4F2E2|D2E2E2D2E4F2G2|d4A4G4E2FG|E2G2F2D2E2F2G2A2|F2G2G2A2ABA2F2E2|D2A2B4A4F2DE|DF,D2E4D3EE2D2|E2G2F2D2E2F2G2A2|F2G2G2A2B2A2F2E2|D2E2E2D2D2E2FG3|d3eA4G4E2G2|D2G2F2D2E2F2G2A2|F2G2G2A2ABA2F2E2|D2G2G2A2G2A2F3E|D3EG2E2F2E2FEG2"
37,e2d2de3f4f4|d2A2B2d2e2D2B4|ABA2e2E2f2d2d2BA|efg2g4f4e2d2|e2d2e4g2f2f4|d2A2B2d2e2D2d2B2|f2d2e4ABAGAB2A|e2g2g2f2f2g2e2fe|e2dee4g2f2f4|d2A2B2d2e2D2d2B2|B2A2e2E2e2d2d2B2|e2g2g4f4d2A2|e2d2e4g2f2f4|d2A2B2d2e2D2d2B2|fe2dB2fed2F2A2B2|g4g4f2g2g4
38,"A2E2E2D2D2F,2D4|D2E2F2DEA4d2G2|F4F2G2F2E2D2F,2|FEF2DEA2D2E2E3F|A2F2E2D2D2F,2D4|D2E2F2E2A4d2G2|G2F2F2G2FGFED4|F,4F,4D2E2G2FG|A2EFE2D2D2F,2D4|D2E2F2E2A4d2G2|G2F2F2G2F2E2D2F,2|E2F2DEAGD2E2E2G2|GAF2E2D2D2F,2D4|D2E2F2E2A4d2G2|G2F2F2G2G2E2D3F,|F,4E2F,2D3EF,4"
39,"A4E2D2G2A2A2F2|B2A2feF2BdBAA4|B2A2A4B2A2E2D2|FEGAEFABD2G2F,2DF,|A4E2D2G2A2A2FG|B2A2f2F2dBA2B4|B2d2d4gfg2g4|g3ff4g2edf2g2|A4E2D2A4A2G2|B2G2f2F2d2A2A2B2|B2A2AG3B2A2E3D|EFA2F2A2D2F2F,2FD|A2BAE2D2A4A2G2|B2A2e2G2A2d2BAd2|d3ee4e2fgg4|g4g4gfefg2dB"
40,e2g2f2e2dB3B2d2|d2G2B2A2B2F2G2B2|d2e2d2A2d4d4|e2d2e2B2d2G2A2B2|e2g2f2e2d2B2B2d2|d2G2B2A2B2E2B3d|f2ede2d2e2f2f2d2|d4BAG2A2F2AGA2|e2g2f2e2d2B2A2B2|d2G2B4B2F2AGBd|e4edB2d4d4|e2d2d2B2BdG2A4|e2g2f2e2d2B2A2B2|d2AGB4B2GAGFBA|e4d2fef2e2f2dB|d4ABGABAFEA3B
41,f2d2AGd2f2d2G2A2|d4feB2g4g4|g4g2e2g2f2e2gf|g2efg4g4g2d2|f2deAGd2f2d2G2B2|d4f2Bdg4g4|g4f4f2e2f2d2|edfed2GAd2BdABdB|f2e2G2d2f2d2G2B2|d4f2d2g4g4|g4g2efg2f2e2fg|gfe2f2g2g4g2f2|f2edGAd2f2d2G2A2|d4f2d2g4f2g2|g4g3ff3ee2AB|fg2fe4d2edd4
42,A2d2d4B4B2e2|B4d2f2f2B2B4|d2B2A2e2e2d2d2f2|f4g2d2d2edd4|A2d2d2e2B4B2e2|B4d2f2f2B2B4|d2B2B2e2e2d2d2f2|gf3g2d2d3ed4|E2A2A2G2A3Gd4|G2E2F2d2d2G2B2A2|F2GFA4B4d2e2|f4g2e2d4B4|E2A2A2G2A2G2d4|G2E2F2d2d2G2B2A2|FG3AGA2B4d2ef|f4g2e2d4B2de
43,"E4G2E2F,4G2B2|EFG2G4D4F,4|F,2D2FEF2D2E2BA3|E2F2DE3F,4E,2F,2|FED2D2E2D2F,2G2B2|F2G2E4D4D4|F,2F2D4F,DE2E2D2|D2F,2D2FED4D2F,2|E4F2DEF,4F2B2|F2G2G4D4F,4|F,2D2E4D2E2A4|E2FED2E2F,4E,3F,|EDEDF2EFD2F,2E2B2|F2G2F2E2E2D2A2D2|F,2D2D3ED2F2FEFE|D4G2E2G4dBd2"
44,d2A2A2B2d2B2e4|f2g2e2f2e2B2A4|d2EFB2AGf2dBe2AG|ed3BdA2AGA2G2BA|d2B2A2B2d3Be4|f2g2e2f2e2B2A4|d4d4d3edef2|ded2A4A4A4|BdB2A2B2d3Be4|f2g2e2g2e2B2A4|BdF2B2GAfed2e2GF|ed3d2B2A4FGB2|BdB2A2B2deBde4|f2g2e2f2e2B2A4|Bd3d2f2e2ded2e2|dBd2BdA2B2A2BABA
45,f2d2A2F2A2G2A2E2|F2E2A2F2G3FG2A2|d4B2E2B2A2B2F2|A2d2d2e2d4B2A2|f2d2ABF2A2G2A2E2|F2E2A2F2G4G2A2|B4e4g4fgfe|e2d2A2F2ED3E4|f2d2B2F2A2G2A2E2|F2E2A2F2G4G2A2|d4B2E2BA3B2FE|GAd2d2e2d4A2BA|f2d2B2F2A2G2A2E2|F2E2BAF2G4G2A2|d2ede2g2g2f2e4|e2d2dBGAA2G2A2FG
46,"A2F2E4E2F2E4|A2B2B2G2d2e2d2B2|A2F2E4F4D2F,2|F2A2B2G2A4A2d2|A2F2E4EF3E4|A2B2B2G2d2e2d4|A2F2E2F2F4D2F,2|F2A2B2G2A4A2d2|A4B4d2e2e2d2|B2d2d2B2d4dB3|d2B2G2A2d4BdA2|A4BAG2A4A2d2|A4B4d2e2e2d2|B2d2d2B2d4d2B2|d2B2G2A2d4B2A2|A4B2G2A4A2B2"
47,e2d2d2e2g4g3f|fg3g4g2e2f2g2|g2fed4g2f2f2g2|f2g2g4g4g2fe|d2e2ed3f2g2fgd2|d2f2g4g2fefgfg|f2d2A2d2f2ABd4|d2e2gf3g4fge2|A2G2e3dg4g4|g4g4f2e2f2g2|g2fed4g2f2g4|f3gfg3g4g2d2|efgfefdBB2f2feBd|d2e2g4g2feA2g2|g2e2ABd2f2d2e2AB|e2fefge2e2A2f2FA
48,ABG2F2E2G2F2D2FE|DEF2G2E2D2E2EDE2|E2A2A4d2B2B2AB|A2G2FG2FA2FGG2A2|AEABE2DEA2GFA2G2|AB3A2E2D2E2E2B2|A4d4d2B2e4|f2e2e2d2A2G2GA2B|B2F2E2D2F2E2D2F2|E2F2G2E2D2E2D2E2|E2A2A2G2d2ABB3A|G2F2F2G2A2FGG2B2|G2E2G4d2A2F3G|E2G2G2E2D2E2E2GA|dB2AdBd2A2d2e2f2|g2f2e2ded2ABAGd2
49,"B4d4f4d4|G2d2A2B2A4A2G2|F2E2F2G2F2d2A2B2|B2e2d2f2f2d2f2d2|f4e2d2d2e2e2d2|BdA2GA2GEFE2FEF,D|D2F2dBd2f2d2e2d2|B2d2d2AGEDG2A2G2|F4d2edf4d4|GAd2A2BAA3GF4|F2E2GFGAF2B2AB2d|Bd2eBde2g2e2g2E2|g4f3eefefd2AG|GAE2F2E2F2EDEFD2|F2E2B2d2e4e2d2|B2d2BAFAF,2D2E2E,2"
50,F2d2A4B2A2A2B2|d2e2g2e2d2B2B2A2|B2dBBA3d2B2B2AG|d2B2e2d2d2B2ABA2|F2d2A4B2A2A2B2|d2e2g2e2d2B2B2A2|B4A4B4A2B2|A2BAG4A2EFF4|F2d2A4B2ABA2B2|d2e2g2e2deB2B2A2|B4B2A2d2B2B2G2|dB2de2d2d2B2AGA2|F2d2A4B2ABA2B2|d2e2g2e2d2B2B2A2|A3BA4B4ABdB|B2A2GAB2A2G2F2G2
51,E4F4A2G2A4|e2f2g2e2f2e2d4|B2F2G4d2D2A2E2|A2F2F2E2F2G2GFGF|EFE2F4A2G2A4|d2f2g2e2f2e2d4|B2F2G4d2FEF2AG|GAG2GFE2FG2FF2A2|e4d4B2f2d2e2|fef2g2f2f2d2d2B2|d2e2e2d2d4e2d2|d2A2B2A2GABAFGed|de3ded2B2f2d2e2|fef2g2f2f2d2B4|d2A2A4d4A2ed|d2A2A2E2F2AGE4
52,f2g2g4g2e2e2B2|f4g2feg4g2de|g2e2d4f2eff2g2|deA2ed3e2dBf2dB|f2g2g4g2f2e2B2|f4g2f2g2fee2f2|e2d2dBd2e2A2B2A2|FEe2feB2f2efe4|g4g2f2e2B2E2de|g2e2g2edg4g2d2|g2f2e2dee2f2g4|fed2ef3efd2e2F2|g4g2f2d2B2G2Bd|f2d2g4g2e2D2f2|dedBB3dd2EDABAG|d2g2g2fedeAFBd3
53,"E2D2D2E2F2G2F3G|G2D2F,2E2G2FGE2F2|E4G2B2A2G2G2FG|BAF2EFDF,F,2D2F,2E,F,|E2D2D2E2F2G2F2G2|A2D2F,2E2G4F4|EFE2G2B2B2G2G4|B2E2FEF,2F,2D2D2E2|F3GA4d4d2B2|E2GFE2F2G2F2A2B2|A2Bdd2A2G2d2d2Bd|GFGFE2D2D2E2GFD2|F2GFA2B2Bd3d2B2|A2B2B2ABB2G2A2B2|A2d2d2A2G2d2d2B2|G2F2F2GFF3GF,4"
54,"F,2D2E2F2A2F2E4|F2F,2D2E,2d2D2B4|G4A2G2A2G2G2E2|d2G2d2A2B2E2F2E2|F,2D2E2F2A2F2E4|F2F,2D2E,2d2D2GAG2|GAGFE2F2G2A2G4|d2G2d2A2B2E2F4|F,2E2F2G2A2F2E4|F2F,2E2F,2dBD2ABA2|A3GA2G2ABG2G2F2|d2G2d2A2B2E2G2F2|F,2E2F2G2A2F2E4|F2F,2E2F,2B2D2A3G|E4D2EFG2BAG4|d2G2d2A2B2FEG4"
55,"D2F2F2E2E2F2G4|E2G2B4A3GE4|G2BdB4F4GF2G|A2G2E4F2D2D2E2|E2F2F2E2E2F2G2F2|E2G2E4GFE2B4|GAF2FGF2A2d2G2E2|F,2E2G2A2A2GFGAF2|E2G2F2E2E2F2G2F2|E2G2B4A2G2E4|G2B2AB3F2GFGFG2|GAG2E2FEFED2D2E2|F,2D2D2E2G4GAF2|D2E2D4D4G2E2|DE2DF4A2B2A2G2|E2GABA3A4A3G"
